Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation
1701988422.165824,VRU_Adult_Using_Bicycle,22.93403671883248,0.89,-25.484769769617028,1.53,-2.714888037862005,1.38,-140.33899154762216
1701988422.265824,VRU_Adult_Using_Bicycle,22.934497117996216,0.89,-25.493446540832515,1.53,-2.6621457040309906,1.38,44.80449666631294
1701988422.365824,VRU_Adult_Using_Bicycle,22.958628934972428,0.89,-25.494166598600497,1.53,-2.7216208191478954,1.38,53.535890537372936
1701988422.4658241,VRU_Adult_Using_Bicycle,22.947807366507394,0.89,-25.47353123256138,1.53,-2.7022217341831754,1.38,-144.38670432648559
1701988422.565824,VRU_Adult_Using_Bicycle,22.937336025816023,0.89,-25.476588971687082,1.53,-2.695053295655684,1.38,45.62860039084043
1701988422.665824,VRU_Adult_Using_Bicycle,22.9407147831387,0.89,-25.48653385374281,1.53,-2.697522507773505,1.38,45.064921792349566
1701988422.765824,VRU_Adult_Using_Bicycle,22.93640812960538,0.89,-25.498020229917582,1.53,-2.686114542412035,1.38,63.416034121784996
1701988422.865824,VRU_Adult_Using_Bicycle,22.932310658116496,0.89,-25.475875300745805,1.53,-2.6867319153201197,1.38,-143.23239098342623
1701988422.9658241,VRU_Adult_Using_Bicycle,22.933891745174634,0.89,-25.48880004882812,1.53,-2.7017599764992215,1.38,56.40103591239649
1701988423.065824,VRU_Adult,20.463459923153827,0.83,3.0448753720238178,0.75,-3.1721820263635543,1.59,-175.83317689921375
1701988423.065824,VRU_Adult_Using_Bicycle,22.92950189113617,0.89,-25.48828327655792,1.53,-2.6949847713112836,1.38,51.4733561516471
1701988423.165824,VRU_Adult_Using_Bicycle,22.92930221557617,0.89,-25.49230575561523,1.53,-2.6978038946787515,1.38,57.89340809369338
1701988423.265824,VRU_Adult_Using_Bicycle,22.936699642854578,0.89,-25.489932733423565,1.53,-2.6596157971550443,1.38,56.02072842055599
1701988423.365824,VRU_Adult_Using_Bicycle,22.92842812971635,0.89,-25.500342975963243,1.53,-2.6857922510667285,1.38,-145.7332238883415
1701988423.4658241,VRU_Adult_Using_Bicycle,22.945885976155598,0.89,-25.5001818868849,1.53,-2.6973776353730097,1.38,54.465065910385796
1701988423.565824,VRU_Adult_Using_Bicycle,22.94812040617972,0.89,-25.483072916666664,1.53,-2.664340134822961,1.38,38.889842857545034
1701988423.665824,VRU_Adult_Using_Bicycle,22.939138585870918,0.89,-25.497725053267043,1.53,-2.691148627888073,1.38,-148.0298687396874
1701988423.765824,VRU_Adult_Using_Bicycle,22.94257128238678,0.89,-25.469867050647732,1.53,-2.6841786429286003,1.38,-145.0740276169798
1701988423.865824,VRU_Adult_Using_Bicycle,22.941121269674863,0.89,-25.48148862053366,1.53,-2.6692538962644687,1.38,-139.63069319638805
1701988423.9658241,VRU_Adult_Using_Bicycle,22.937799096107483,0.89,-25.491065263748165,1.53,-2.716757029294968,1.38,46.00513823025335
1701988423.9658241,VRU_Adult_Using_Bicycle,22.937799096107483,0.96,-25.491065263748165,1.64,-2.716757029294968,1.65,46.00513823025335
1701988424.065824,VRU_Adult_Using_Bicycle,22.93709582667197,0.89,-25.495757256784742,1.53,-2.6886216517417667,1.38,-148.0321649054668
1701988424.165824,VRU_Adult_Using_Bicycle,22.918276526711203,0.89,-25.493229316942617,1.53,-2.666278412847808,1.38,-136.86362410691817
1701988424.265824,VRU_Adult_Using_Bicycle,22.91982552499482,0.89,-25.499390688809477,1.53,-2.6531432541933926,1.38,39.94168865079313
1701988424.365824,VRU_Adult_Using_Bicycle,22.945584858165066,0.89,-25.48805175108068,1.53,-2.6824277008281037,1.38,53.68929642165648
1701988424.4658241,VRU_Adult_Using_Bicycle,22.907733055853075,0.89,-25.486347752232703,1.53,-2.6427571004436863,1.38,43.22090995903687
1701988424.565824,VRU_Adult_Using_Bicycle,22.944125811258953,0.89,-25.481796423594155,1.53,-2.681506070825789,1.38,40.905295476574
1701988424.665824,VRU_Adult,20.276983160721628,0.83,3.0884966473830433,0.75,-3.1763114301781905,1.59,-0.09767643667070618
1701988424.665824,VRU_Adult_Using_Bicycle,22.938098090035574,0.89,-25.48599117824009,1.53,-2.6746066161564417,1.38,-141.98670947411551
1701988424.765824,VRU_Adult_Using_Bicycle,22.93942796861803,0.89,-25.48023430076805,1.53,-2.6647629737854004,1.38,-143.25809973074774
1701988424.865824,VRU_Adult_Using_Bicycle,22.95449072122574,0.89,-25.50119352340698,1.53,-2.7558816745877266,1.38,-141.76044125535532
1701988424.9658241,VRU_Adult_Using_Bicycle,22.946402192115784,0.89,-25.47867083549499,1.53,-2.7319311648607254,1.38,47.212438710629634
1701988425.065824,VRU_Adult_Using_Bicycle,22.943382799625397,0.89,-25.475973844528195,1.53,-2.717844806611538,1.38,-139.37598708643753
1701988425.165824,VRU_Adult_Using_Bicycle,22.927639661516462,0.89,-25.491404179164338,1.53,-2.6597086429595946,1.38,41.60386034620436
1701988425.265824,VRU_Adult_Using_Bicycle,22.928273539389334,0.89,-25.491079022807455,1.53,-2.7046488715756323,1.38,51.66622361194835
1701988425.365824,VRU_Adult_Using_Bicycle,22.94797877261513,0.89,-25.4964495207134,1.53,-2.696524613781979,1.38,46.636653166207296
1701988425.4658241,VRU_Adult_Using_Bicycle,22.932858875819615,0.89,-25.488305664062498,1.53,-2.684597274235317,1.38,52.184806586679336
