Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation,bin_idx
1701908615.873487,VRU_Adult_Using_Motorized_Bicycle,38.49718246459961,0.96,-42.732645416259764,1.64,-2.677606534957884,1.65,70.03785038386935,000032
1701908615.973487,VRU_Adult_Using_Cane,13.401362125690175,0.75,-28.83047162569487,0.69,-3.4849968506739697,1.45,161.13257661627563,000033
1701908616.073487,VRU_Adult_Using_Cane,13.365825579716617,0.75,-28.78410926231972,0.69,-3.4323947613055887,1.45,164.31621631613578,000034
1701908616.173487,VRU_Adult_Using_Cane,13.337072168077752,0.75,-28.776362146650047,0.69,-3.403708185468401,1.45,169.11103615019823,000035
1701908616.173487,VRU_Adult_Using_Motorized_Bicycle,38.12397003173829,0.96,-42.467657725016274,1.64,-2.931757648785906,1.65,20.452423029094167,000035
1701908616.2734869,VRU_Adult_Using_Motorized_Bicycle,38.621186065673825,0.96,-43.176641845703124,1.64,-2.2245091199874865,1.65,13.913957987615158,000036
1701908616.473487,VRU_Adult_Using_Cane,13.300227101643888,0.75,-28.65482635498047,0.69,-3.4387954552968343,1.45,169.5347959468555,000038
1701908616.7734869,VRU_Adult_Using_Cane,13.299890224750234,0.75,-28.625469354482806,0.69,-3.596413117188674,1.45,164.8489604701755,000041
1701908616.7734869,VRU_Adult_Using_Motorized_Bicycle,38.42570931570871,0.96,-42.64722878592355,1.64,-2.6201073101588648,1.65,132.18392670259874,000041
1701908616.873487,VRU_Adult_Using_Cane,13.306092330387669,0.75,-28.592930112566275,0.69,-3.5850838082177297,1.45,-172.9772710918904,000042
1701908616.973487,VRU_Adult_Using_Cane,13.282883307513078,0.75,-28.57445122213925,0.69,-3.551630553077249,1.45,-152.17278086496165,000043
1701908617.073487,VRU_Adult_Using_Cane,13.302881050109875,0.75,-28.51358210245769,0.69,-3.5654885927836104,1.45,175.36728453829411,000044
1701908617.073487,VRU_Adult_Using_Motorized_Bicycle,38.775166829427086,0.96,-42.743862787882485,1.64,-2.2917930483818036,1.65,86.83729453694608,000044
1701908617.173487,VRU_Adult_Using_Motorized_Bicycle,38.37067522321429,0.96,-42.77231434413365,1.64,-3.0102271011897477,1.65,63.121505845555156,000045
1701908617.373487,VRU_Adult_Using_Cane,13.32870848038618,0.75,-28.42195510864258,0.69,-3.583509024451761,1.45,152.75443370175435,000047
1701908617.373487,VRU_Adult_Using_Motorized_Bicycle,38.491214752197266,0.96,-42.89927577972413,1.64,-2.2635078728198987,1.65,89.7703908592481,000047
1701908617.473487,VRU_Adult_Using_Motorized_Bicycle,11.422686894734705,0.96,-2.691317478815721,1.64,-3.2852250734965005,1.65,-99.67100541102243,000048
1701908617.473487,VRU_Adult_Using_Cane,13.333718844822483,0.75,-28.4068318775722,0.69,-3.5715618644441878,1.45,156.8740698198748,000048
1701908617.573487,VRU_Adult_Using_Cane,13.35602194922312,0.75,-28.392175538199297,0.69,-3.615498730114528,1.45,152.6569476862695,000049
1701908617.7734869,VRU_Adult_Using_Motorized_Bicycle,38.77712794712612,0.96,-42.91188539777483,1.64,-2.597208210400171,1.65,26.51298241968668,000051
1701908617.873487,VRU_Adult_Using_Motorized_Bicycle,38.34106172834124,0.96,-42.74580873761858,1.64,-3.0564369474138506,1.65,60.585805265106494,000052
1701908618.2734869,VRU_Adult_Using_Motorized_Bicycle,38.09814961751303,0.96,-42.976828257242836,1.64,-3.0072466532389313,1.65,159.6290987517619,000056
1701908618.373487,VRU_Adult_Using_Motorized_Bicycle,38.75485992431641,0.96,-42.98838500976562,1.64,-2.154194927215575,1.65,-19.500200125923012,000057
1701908618.473487,VRU_Adult_Using_Manual_Bicycle,13.303064686911458,0.89,-28.13978004455567,1.53,-3.607702800205776,1.38,173.27761515209696,000058
1701908618.573487,VRU_Adult_Using_Motorized_Bicycle,37.890192985534675,0.96,-42.42334461212159,1.64,-3.395339667797087,1.65,-64.21316534203649,000059
1701908618.873487,VRU_Adult_Using_Cane,13.405373629401723,0.75,-28.038193197811353,0.69,-3.572021680719712,1.45,100.09886378177173,000062
1701908618.973487,VRU_Adult_Using_Cane,13.361285765965789,0.75,-28.001178423563648,0.69,-3.5217851797739663,1.45,115.74695475861948,000063
1701908618.973487,VRU_Adult_Using_Motorized_Bicycle,38.262654985700344,0.96,-42.71620886666434,1.64,-2.8090724604470374,1.65,156.83185136027845,000063
1701908619.173487,VRU_Adult_Using_Motorized_Bicycle,38.70203113555908,0.96,-43.22132968902588,1.64,-2.2774558961391436,1.65,9.111942348160305,000065
1701908619.2734869,VRU_Adult_Using_Cane,13.304663045065752,0.75,-27.920952251979287,0.69,-3.5384812695639476,1.45,-63.092811642460426,000066
1701908619.373487,VRU_Adult_Using_Cane,13.339555604117265,0.75,-27.89630903516498,0.69,-3.580175825527736,1.45,136.05764724429332,000067
1701908619.373487,VRU_Adult_Using_Motorized_Bicycle,38.782343864440925,0.96,-43.178229331970215,1.64,-2.026016563177106,1.65,8.534555467119489,000067
1701908619.473487,VRU_Adult_Using_Cane,13.346741104125984,0.75,-27.891641108194996,0.69,-3.6169351895650226,1.45,126.1223205865748,000068
1701908619.473487,VRU_Adult_Using_Motorized_Bicycle,38.182252248128265,0.96,-42.56015141805013,1.64,-3.6646817525227853,1.65,52.770278940517294,000068
1701908619.573487,VRU_Adult_Using_Cane,13.322084784507762,0.75,-27.849450945854194,0.69,-3.5833239406347275,1.45,173.03032100591136,000069
1701908619.673487,VRU_Adult_Using_Cane,13.331058057149258,0.75,-27.799973932902024,0.69,-3.604091231028239,1.45,168.3694304299784,000070
1701908619.673487,VRU_Adult_Using_Motorized_Bicycle,38.568913269042966,0.96,-43.18233184814453,1.64,-2.290697932243345,1.65,11.641713853204608,000070
1701908619.873487,VRU_Adult_Using_Motorized_Bicycle,38.7150502886091,0.96,-42.72378431047712,1.64,-2.828247070312499,1.65,48.30868390692346,000072
1701908620.173487,Passenger_Vehicle,13.373483300209053,2.6,-27.684500575065623,5.08,-3.5370762795209885,1.85,124.05999028674721,000075
1701908620.173487,VRU_Adult_Using_Motorized_Bicycle,38.572810490926116,0.96,-43.18224652608236,1.64,-2.4707733194033294,1.65,12.931452903246942,000075
1701908620.473487,VRU_Adult_Using_Cane,13.389941978454598,0.75,-27.602851486206063,0.69,-3.5338858286539714,1.45,125.89975021309743,000078
1701908620.573487,VRU_Adult_Using_Cane,13.375593185424812,0.75,-27.59105289683623,0.69,-3.6091057833503273,1.45,130.05580946101378,000079
1701908620.673487,VRU_Adult_Using_Cane,13.334171983930807,0.75,-27.57021586100261,0.69,-3.6245974037382345,1.45,126.81481468553994,000080
1701908620.673487,VRU_Adult_Using_Motorized_Bicycle,38.66820220947265,0.96,-43.16696319580078,1.64,-2.090365886688231,1.65,6.237887710583037,000080
1701908620.7734869,VRU_Adult_Using_Cane,13.34761035442353,0.75,-27.54762554168702,0.69,-3.5890453159809113,1.45,121.6352721223893,000081
1701908620.873487,VRU_Adult_Using_Cane,13.3219132172434,0.75,-27.5138447410182,0.69,-3.5839141293575896,1.45,149.250029955325,000082
1701908620.973487,VRU_Adult_Using_Cane,13.326955848270003,0.75,-27.484338760375987,0.69,-3.5841996802224054,1.45,136.8672381071094,000083
1701908620.973487,VRU_Adult_Using_Motorized_Bicycle,38.32780202229818,0.96,-42.720664978027344,1.64,-2.838012814521788,1.65,62.226185678297405,000083
1701908621.173487,VRU_Adult_Using_Motorized_Bicycle,38.74560260772705,0.96,-43.136006355285645,1.64,-2.024352759122847,1.65,11.3925640302625,000085
1701908621.2734869,VRU_Adult_Using_Motorized_Bicycle,38.26878547668457,0.96,-42.876878102620445,1.64,-3.1777650515238425,1.65,72.00754690158381,000086
1701908621.473487,VRU_Adult_Using_Motorized_Bicycle,38.38299608230591,0.96,-42.65786123275757,1.64,-2.6236180067062365,1.65,153.4573283087372,000088
1701908621.673487,VRU_Adult_Using_Motorized_Bicycle,38.56453541346959,0.96,-42.76290839059012,1.64,-2.5326904569353355,1.65,-137.61346350915855,000090
1701908621.873487,VRU_Adult_Using_Motorized_Bicycle,38.345735277448384,0.96,-42.753879002162385,1.64,-3.0568356854575005,1.65,61.080892737755825,000092
1701908622.073487,VRU_Adult_Using_Manual_Bicycle,13.206070772806811,0.89,-27.132586415608728,1.53,-3.598413372039795,1.38,152.92309347557054,000094
1701908622.373487,VRU_Adult_Using_Motorized_Bicycle,38.41788339614868,0.96,-42.64304447174072,1.64,-2.5824396312236764,1.65,153.86914321108898,000097
1701908622.573487,VRU_Adult_Using_Motorized_Bicycle,37.908023071289065,0.96,-43.46534957885742,1.64,-2.954196166992186,1.65,-116.01610259791215,000099
1701908622.973487,VRU_Adult_Using_Motorized_Bicycle,38.50657348632812,0.96,-42.79720001220703,1.64,-2.6420893192291244,1.65,154.36917574871603,000103
1701908623.073487,VRU_Adult_Using_Motorized_Bicycle,38.75277614593506,0.96,-43.143009185791016,1.64,-2.024469316005706,1.65,8.002901093796968,000104
1701908623.173487,VRU_Adult_Using_Motorized_Bicycle,38.89884948730469,0.96,-43.13377634684244,1.64,-1.8023974895477286,1.65,-170.43132941013548,000105
1701908623.473487,VRU_Adult_Using_Cane,13.171445655822762,0.75,-26.776657104492195,0.69,-3.587532663345337,1.45,152.543564752479,000108
1701908623.573487,VRU_Adult_Using_Cane,13.147465254131122,0.75,-26.756532769454157,0.69,-3.6013019210413884,1.45,164.03564621346058,000109
1701908623.673487,VRU_Adult_Using_Cane,13.149160839262468,0.75,-26.724796658470524,0.69,-3.5923694428943453,1.45,164.71284386153488,000110
1701908623.7734869,VRU_Adult_Using_Motorized_Bicycle,38.66331577301026,0.96,-42.90439796447754,1.64,-2.100741654634474,1.65,72.7164258331063,000111
1701908623.873487,VRU_Adult_Using_Motorized_Bicycle,38.104817708333336,0.96,-42.97447077433268,1.64,-3.0074636141459137,1.65,159.51904724622335,000112
1701908624.073487,VRU_Adult_Using_Motorized_Bicycle,38.44255510965983,0.96,-43.142678578694664,1.64,-2.462281187375385,1.65,175.17131634592593,000114
1701908624.573487,VRU_Adult_Using_Motorized_Bicycle,11.424077351888025,0.96,-2.696628491083787,1.64,-3.2859439849853516,1.65,-91.53103283780504,000119
1701908624.573487,VRU_Adult_Using_Motorized_Bicycle,38.51416460673015,0.96,-42.763750712076835,1.64,-2.960405588150023,1.65,65.93386879579161,000119
1701908624.873487,VRU_Adult_Using_Motorized_Bicycle,38.5838934580485,0.96,-43.193806966145836,1.64,-2.471141974131264,1.65,11.444473775606836,000122
1701908624.973487,VRU_Adult_Using_Cane,13.19452629089356,0.75,-26.265510253906253,0.69,-3.5732430362701417,1.45,-169.10587689427084,000123
1701908625.073487,VRU_Adult_Using_Manual_Bicycle,13.204056739807132,0.89,-26.25957085536077,1.53,-3.546093353858361,1.38,176.8385925093465,000124
1701908625.173487,VRU_Adult_Using_Manual_Bicycle,11.414718437194827,0.89,-2.6284549713134835,1.53,-3.541546869277954,1.38,75.78446677759717,000125
1701908625.173487,VRU_Adult_Using_Manual_Bicycle,13.22675468808129,0.89,-26.22309793744769,1.53,-3.523429109936669,1.38,176.9674328162756,000125
1701908625.173487,VRU_Adult_Using_Motorized_Bicycle,38.46088155110677,0.96,-42.9296900431315,1.64,-2.457543114821115,1.65,-159.3290798547301,000125
1701908625.2734869,VRU_Adult_Using_Cane,13.256631056467697,0.75,-26.224945942560836,0.69,-3.562788893779119,1.45,176.1356430504753,000126
1701908625.373487,VRU_Adult_Using_Cane,13.276084596460521,0.75,-26.195995244112886,0.69,-3.507222739132968,1.45,167.64473478655427,000127
1701908625.473487,VRU_Adult_Using_Cane,13.28828247070313,0.75,-26.19515258789063,0.69,-3.519641075134278,1.45,177.121510785061,000128
1701908625.573487,VRU_Adult_Using_Manual_Bicycle,13.266837215423589,0.89,-26.168963146209723,1.53,-3.4870408296585085,1.38,-15.53295734600649,000129
1701908625.673487,VRU_Adult_Using_Cane,13.270155559886591,0.75,-26.160853732715964,0.69,-3.5137628533623437,1.45,167.2072996430898,000130
1701908625.7734869,VRU_Adult_Using_Cane,13.26748355229696,0.75,-26.134330670038864,0.69,-3.536619504292806,1.45,164.19626730469358,000131
1701908625.973487,VRU_Adult_Using_Cane,13.246309776306157,0.75,-26.087472763061527,0.69,-3.558945779800415,1.45,153.76370675031905,000133
1701908625.973487,VRU_Adult_Using_Motorized_Bicycle,38.72050552368164,0.96,-42.93578338623047,1.64,-2.085589742660521,1.65,49.322780700437974,000133
1701908626.073487,VRU_Adult_Using_Cane,13.240927903548537,0.75,-26.05264224176822,0.69,-3.5940064450968867,1.45,147.60748424378355,000134
1701908626.173487,VRU_Adult_Using_Cane,13.219965934753423,0.75,-26.026384021924894,0.69,-3.523980783379596,1.45,3.212924537857782,000135
1701908626.173487,VRU_Adult_Using_Motorized_Bicycle,12.395776112874355,0.96,-14.728349214508423,1.64,-3.571581431797571,1.65,94.66394540247269,000135
1701908626.173487,VRU_Adult_Using_Motorized_Bicycle,38.75171852111817,0.96,-43.12517547607422,1.64,-2.0242015421390516,1.65,11.178056328064438,000135
1701908626.2734869,VRU_Adult_Using_Cane,13.227508635748006,0.75,-25.995695386614123,0.69,-3.5269076597122924,1.45,169.67688546181063,000136
1701908626.373487,VRU_Adult_Using_Motorized_Bicycle,38.09879557291668,0.96,-42.995808919270836,1.64,-3.0081535975138323,1.65,159.52879197359044,000137
1701908626.473487,VRU_Adult_Using_Cane,13.243985798047941,0.75,-25.949974972268816,0.69,-3.560944837072621,1.45,-171.313273988611,000138
1701908626.573487,Passenger_Vehicle,13.240269184112554,2.6,-25.910036484400436,5.08,-3.577745308478674,1.85,178.76638903470015,000139
1701908626.673487,VRU_Adult_Using_Cane,13.23646043476306,0.75,-25.860060340479805,0.69,-3.6029251123729504,1.45,-11.605061980613375,000140
1701908626.973487,VRU_Adult_Using_Motorized_Bicycle,38.522809982299805,0.96,-42.998886585235596,1.64,-2.352167561650275,1.65,34.484209600489265,000143
1701908627.073487,VRU_Adult_Using_Motorized_Bicycle,38.36420249938965,0.96,-42.82630014419556,1.64,-3.012433439493178,1.65,58.64415879098884,000144
1701908627.2734869,VRU_Adult_Using_Motorized_Bicycle,38.45348358154297,0.96,-42.82105975680881,1.64,-2.5297035906049934,1.65,-155.42099202709397,000146
1701908627.373487,VRU_Adult_Using_Motorized_Bicycle,12.364149820236936,0.96,-14.536331290290471,1.64,-3.6228332860129213,1.65,94.60264304465183,000147
1701908627.473487,VRU_Adult_Using_Motorized_Bicycle,38.63735885620118,0.96,-42.976219177246094,1.64,-2.287202620506284,1.65,48.12968115630439,000148
1701908627.673487,VRU_Adult_Using_Motorized_Bicycle,38.112664540608726,0.96,-42.98888142903646,1.64,-3.0080142815907784,1.65,158.93069436995606,000150
1701908627.7734869,VRU_Adult_Using_Motorized_Bicycle,12.32971181869507,0.96,-13.883205008506774,1.64,-3.6734907031059256,1.65,94.53929613585034,000151
1701908627.873487,VRU_Adult_Using_Motorized_Bicycle,12.0982254635204,0.96,-11.762734358960932,1.64,-3.623350479386069,1.65,-79.21019984258587,000152
1701908627.873487,VRU_Adult_Using_Motorized_Bicycle,38.10473251342774,0.96,-42.60172144571941,1.64,-3.4388111432393367,1.65,55.84509784750912,000152
1701908627.973487,VRU_Adult_Using_Motorized_Bicycle,12.145175570533393,0.96,-12.19923484325409,1.64,-3.647576877049036,1.65,-79.06215281311938,000153
1701908628.173487,VRU_Adult_Using_Motorized_Bicycle,38.47630637032646,0.96,-43.00956017630441,1.64,-2.4915634053094036,1.65,176.97909553765908,000155
1701908628.473487,VRU_Adult_Using_Motorized_Bicycle,38.28647994995118,0.96,-42.80174407958985,1.64,-3.276022720336911,1.65,59.249408282694105,000158
1701908628.673487,Passenger_Vehicle,9.944390614827478,2.6,29.57436243693033,5.08,-4.552793184916177,1.85,142.678358973696,000160
1701908628.673487,VRU_Adult_Using_Cane,13.20581714312236,0.75,-25.220402717590336,0.69,-3.4816235105196633,1.45,176.9236432336598,000160
1701908628.7734869,VRU_Adult_Using_Cane,13.22020088542592,0.75,-25.190427086570057,0.69,-3.493673552166332,1.45,-169.84326544677631,000161
1701908628.7734869,VRU_Adult_Using_Motorized_Bicycle,38.629037475585946,0.96,-43.20179824829101,1.64,-2.225179195404051,1.65,13.868053463590195,000161
